url	status	ldjson	h1	title	desc_md5
https://mikof.md/Cand_trebuie_facuta_vizita_la_oftalmolog_cu_copilul.shtml	200	0	1	Când trebuie făcută vizită la oftalmolog cu copilul	5e3444f5
https://mikof.md/Cataracta_Cum%20sa_ajutati_parintii_sa_recastige_vederea_clara.shtml	200	0	1	Cataracta la părinți – Depistare rapidă și tratament eficient | MIKOF.md	7a25dfef
https://mikof.md/Cataracta_nu_e_o_condamnare_Metodele_moderne_de_restabilire_a_vederii.shtml	200	0	1	Cataracta nu e o condamnare: Metodele moderne de restabilire a vederii	e431d2fe
https://mikof.md/Centrul_Oftalmologic_Microchirurgia_Ochiului_isi_reia_activitatea.shtml	200	0	1	Centrul Oftalmologic ”Microchirurgia Ochiului” își reia activitatea	0137810f
https://mikof.md/Dezlipirea-de-retin%C4%83-%C8%99i-chirurgia-vitreoretinal%C4%83.shtml	200	0	1	Dezlipirea de retină și chirurgia vitreoretinală	88b83a68
https://mikof.md/Examinarea_regulata_a_vederii_o_garantie_a_sanatatii_ochilor.shtml	200	0	1	Examinarea regulată a vederii - o garanție a sănătății ochilor	2e0bc038
https://mikof.md/POLITICA_Centrului_oftalmologic_Microchirurgia_ochiului_SRL_in_domeniul_calitatii.shtml	200	0	1	POLITICA Centrului oftalmologic „Microchirurgia ochiului” SRL în domeniul calității	9b81cc25
https://mikof.md/POLITICA_Centrului_oftalmologic_Microchirurgia_ochiului_SRL_in_domeniul_respectarii_drepturilor_pacientilor.shtml	200	0	1	POLITICA Centrului oftalmologic ,,Microchirurgia ochiului” SRL în domeniul respectării drepturilor pacienților	a324fd09
https://mikof.md/Paste_din_anul_2026.shtml	200	0	1	Programul de lucru al centrului oftalmologic „Microchirurgia Ochiului” în zilele de Paște din anul 2026	dee11f9c
https://mikof.md/Program_de_lucru_in_perioada_sarbatorilor_de_iarna_2026.shtml	200	0	1	Program de lucru în perioada sărbătorilor de iarnă 2025-2026	d506e844
https://mikof.md/Vedeti_lumea_in_detaliu.shtml	200	0	1	Vedeți lumea în detaliu	cf4fea66
https://mikof.md/articles.shtml	200	0	0	Articole	ce822fe4
https://mikof.md/carantina.shtml	200	0	1	Modificari in Orarul de lucru al Centrului Oftalmologic &quot;Microchirurgia Ochiului&quot;	04430eaa
https://mikof.md/cataracta.shtml	200	0	1	CE REPREZINTĂ CATARACTA ȘI CUM SE TRATEAZĂ?	af151bb5
https://mikof.md/ce-este-cataracta.shtml	200	0	1	Ce reprezintă cataracta	5bce85d8
https://mikof.md/chirurgia_cataractei.shtml	200	0	1	Chirurgia cataractei	9a8aa59c
https://mikof.md/clinic.shtml	200	0	0	Despre centrul	6e185ee7
https://mikof.md/contact.shtml	200	0	0	Contacte	aba53c7f
https://mikof.md/corectia_vederii_cu_lazer.shtml	200	0	1	Corecția vederii cu lazer – rapid și sigur	fcc629e9
https://mikof.md/de_ce_apare_miopia_si_cum_dumneavoastra_puteti_intoatce_vederea_inapoi.shtml	200	0	1	DE CE APARE MIOPIA ȘI CUM VĂ PUTEȚI ÎNTOARCE VEDEREA ÎNAPOI?	c3d8be44
